Year,Org_Type,ONS_Code,Org_Code,Org_Name,Classification,Metric_Primary,Value
2015/16,LocalAuthority,E08000009,312,Trafford,FAE_Primary_Obesity,All persons,21
2015/16,LocalAuthority,E08000010,313,Wigan,FAE_Primary_Obesity,All persons,40
2015/16,LocalAuthority,E08000011,315,Knowsley,FAE_Primary_Obesity,All persons,33
2015/16,LocalAuthority,E08000012,316,Liverpool,FAE_Primary_Obesity,All persons,75
2015/16,LocalAuthority,E08000013,318,St. Helens,FAE_Primary_Obesity,All persons,19
2015/16,LocalAuthority,E08000014,317,Sefton,FAE_Primary_Obesity,All persons,39
2015/16,LocalAuthority,E08000015,319,Wirral,FAE_Primary_Obesity,All persons,57
2015/16,LocalAuthority,E08000016,204,Barnsley,FAE_Primary_Obesity,All persons,33
2015/16,LocalAuthority,E08000017,205,Doncaster,FAE_Primary_Obesity,All persons,42
2015/16,LocalAuthority,E08000018,206,Rotherham,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E08000019,207,Sheffield,FAE_Primary_Obesity,All persons,113
2015/16,LocalAuthority,E08000021,107,Newcastle upon Tyne,FAE_Primary_Obesity,All persons,63
2015/16,LocalAuthority,E08000022,108,North Tyneside,FAE_Primary_Obesity,All persons,78
2015/16,LocalAuthority,E08000023,109,South Tyneside,FAE_Primary_Obesity,All persons,145
2015/16,LocalAuthority,E08000024,110,Sunderland,FAE_Primary_Obesity,All persons,320
2015/16,LocalAuthority,E08000025,406,Birmingham,FAE_Primary_Obesity,All persons,302
2015/16,LocalAuthority,E08000026,407,Coventry,FAE_Primary_Obesity,All persons,68
2015/16,LocalAuthority,E08000027,408,Dudley,FAE_Primary_Obesity,All persons,32
2015/16,LocalAuthority,E08000028,409,Sandwell,FAE_Primary_Obesity,All persons,136
2015/16,LocalAuthority,E08000029,410,Solihull,FAE_Primary_Obesity,All persons,60
2015/16,LocalAuthority,E08000030,411,Walsall,FAE_Primary_Obesity,All persons,42
2015/16,LocalAuthority,E08000031,412,Wolverhampton,FAE_Primary_Obesity,All persons,49
2015/16,LocalAuthority,E08000032,209,Bradford,FAE_Primary_Obesity,All persons,91
2015/16,LocalAuthority,E08000033,210,Calderdale,FAE_Primary_Obesity,All persons,52
2015/16,LocalAuthority,E08000034,211,Kirklees,FAE_Primary_Obesity,All persons,36
2015/16,LocalAuthority,E08000035,212,Leeds,FAE_Primary_Obesity,All persons,45
2015/16,LocalAuthority,E08000036,213,Wakefield,FAE_Primary_Obesity,All persons,33
2015/16,LocalAuthority,E08000037,106,Gateshead,FAE_Primary_Obesity,All persons,122
2015/16,LocalAuthority,E09000001,714,City of London,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E09000002,716,Barking and Dagenham,FAE_Primary_Obesity,All persons,34
2015/16,LocalAuthority,E09000003,717,Barnet,FAE_Primary_Obesity,All persons,94
2015/16,LocalAuthority,E09000004,718,Bexley,FAE_Primary_Obesity,All persons,82
2015/16,LocalAuthority,E09000005,719,Brent,FAE_Primary_Obesity,All persons,105
2015/16,LocalAuthority,E09000006,720,Bromley,FAE_Primary_Obesity,All persons,60
2015/16,LocalAuthority,E09000007,702,Camden,FAE_Primary_Obesity,All persons,61
2015/16,LocalAuthority,E09000008,721,Croydon,FAE_Primary_Obesity,All persons,70
2015/16,LocalAuthority,E09000009,722,Ealing,FAE_Primary_Obesity,All persons,128
2015/16,LocalAuthority,E09000010,723,Enfield,FAE_Primary_Obesity,All persons,64
2015/16,LocalAuthority,E09000011,703,Greenwich,FAE_Primary_Obesity,All persons,111
2015/16,LocalAuthority,E09000012,704,Hackney,FAE_Primary_Obesity,All persons,52
2015/16,LocalAuthority,E09000013,705,Hammersmith and Fulham,FAE_Primary_Obesity,All persons,61
2015/16,LocalAuthority,E09000014,724,Haringey,FAE_Primary_Obesity,All persons,68
2015/16,LocalAuthority,E09000015,725,Harrow,FAE_Primary_Obesity,All persons,50
2015/16,LocalAuthority,E09000016,726,Havering,FAE_Primary_Obesity,All persons,32
2015/16,LocalAuthority,E09000017,727,Hillingdon,FAE_Primary_Obesity,All persons,90
2015/16,LocalAuthority,E09000018,728,Hounslow,FAE_Primary_Obesity,All persons,68
2015/16,LocalAuthority,E09000019,706,Islington,FAE_Primary_Obesity,All persons,67
2015/16,LocalAuthority,E09000020,707,Kensington and Chelsea,FAE_Primary_Obesity,All persons,29
2015/16,LocalAuthority,E09000021,729,Kingston upon Thames,FAE_Primary_Obesity,All persons,*
2015/16,LocalAuthority,E09000022,708,Lambeth,FAE_Primary_Obesity,All persons,109
2015/16,LocalAuthority,E09000023,709,Lewisham,FAE_Primary_Obesity,All persons,127
2015/16,LocalAuthority,E09000024,730,Merton,FAE_Primary_Obesity,All persons,43
2015/16,LocalAuthority,E09000025,731,Newham,FAE_Primary_Obesity,All persons,52
2015/16,LocalAuthority,E09000026,732,Redbridge,FAE_Primary_Obesity,All persons,35
2015/16,LocalAuthority,E09000027,733,Richmond upon Thames,FAE_Primary_Obesity,All persons,26
2015/16,LocalAuthority,E09000028,710,Southwark,FAE_Primary_Obesity,All persons,116
2015/16,LocalAuthority,E09000029,734,Sutton,FAE_Primary_Obesity,All persons,42
2015/16,LocalAuthority,E09000030,711,Tower Hamlets,FAE_Primary_Obesity,All persons,35
2015/16,LocalAuthority,E09000031,735,Waltham Forest,FAE_Primary_Obesity,All persons,66
2015/16,LocalAuthority,E09000032,712,Wandsworth,FAE_Primary_Obesity,All persons,52
2015/16,LocalAuthority,E09000033,713,Westminster,FAE_Primary_Obesity,All persons,72
2015/16,LocalAuthority,E10000002,612,Buckinghamshire,FAE_Primary_Obesity,All persons,48
2015/16,LocalAuthority,E10000003,623,Cambridgeshire,FAE_Primary_Obesity,All persons,45
2015/16,LocalAuthority,E10000006,102,Cumbria,FAE_Primary_Obesity,All persons,49
2015/16,LocalAuthority,E10000007,506,Derbyshire,FAE_Primary_Obesity,All persons,86
2015/16,LocalAuthority,E10000008,912,Devon,FAE_Primary_Obesity,All persons,118
2015/16,LocalAuthority,E10000009,809,Dorset,FAE_Primary_Obesity,All persons,38
2015/16,LocalAuthority,E10000011,815,East Sussex,FAE_Primary_Obesity,All persons,101
2015/16,LocalAuthority,E10000012,620,Essex,FAE_Primary_Obesity,All persons,129
2015/16,LocalAuthority,E10000013,904,Gloucestershire,FAE_Primary_Obesity,All persons,48
2015/16,LocalAuthority,E10000014,812,Hampshire,FAE_Primary_Obesity,All persons,188
2015/16,LocalAuthority,E10000015,606,Hertfordshire,FAE_Primary_Obesity,All persons,152
2015/16,LocalAuthority,E10000016,820,Kent,FAE_Primary_Obesity,All persons,257
2015/16,LocalAuthority,E10000017,323,Lancashire,FAE_Primary_Obesity,All persons,107
2015/16,LocalAuthority,E10000018,508,Leicestershire,FAE_Primary_Obesity,All persons,32
2015/16,LocalAuthority,E10000019,503,Lincolnshire,FAE_Primary_Obesity,All persons,38
2015/16,LocalAuthority,E10000020,607,Norfolk,FAE_Primary_Obesity,All persons,95
2015/16,LocalAuthority,E10000021,504,Northamptonshire,FAE_Primary_Obesity,All persons,95
2015/16,LocalAuthority,E10000023,218,North Yorkshire,FAE_Primary_Obesity,All persons,86
2015/16,LocalAuthority,E10000024,511,Nottinghamshire,FAE_Primary_Obesity,All persons,43
2015/16,LocalAuthority,E10000025,608,Oxfordshire,FAE_Primary_Obesity,All persons,82
2015/16,LocalAuthority,E10000027,905,Somerset,FAE_Primary_Obesity,All persons,69
2015/16,LocalAuthority,E10000028,413,Staffordshire,FAE_Primary_Obesity,All persons,189
2015/16,LocalAuthority,E10000029,609,Suffolk,FAE_Primary_Obesity,All persons,69
2015/16,LocalAuthority,E10000030,805,Surrey,FAE_Primary_Obesity,All persons,169
2015/16,LocalAuthority,E10000031,404,Warwickshire,FAE_Primary_Obesity,All persons,99
2015/16,LocalAuthority,E10000032,807,West Sussex,FAE_Primary_Obesity,All persons,121
2015/16,LocalAuthority,E10000034,416,Worcestershire,FAE_Primary_Obesity,All persons,107
2015/16,National,E92000001,,England,FAE_Primary_Obesity,Female,"7,356"
2015/16,Region,E12000001,A,North East,FAE_Primary_Obesity,Female,"1,192"
2015/16,Region,E12000002,B,North West,FAE_Primary_Obesity,Female,585
2015/16,Region,E12000003,D,Yorkshire and the Humber,FAE_Primary_Obesity,Female,506
2015/16,Region,E12000004,E,East Midlands,FAE_Primary_Obesity,Female,261
2015/16,Region,E12000005,F,West Midlands,FAE_Primary_Obesity,Female,"1,079"
2015/16,Region,E12000006,G,East of England,FAE_Primary_Obesity,Female,491
2015/16,Region,E12000007,H,London,FAE_Primary_Obesity,Female,"1,616"
2015/16,Region,E12000008,J,South East,FAE_Primary_Obesity,Female,"1,053"
2015/16,Region,E12000009,K,South West,FAE_Primary_Obesity,Female,573
2015/16,LocalAuthority,E06000001,111,Hartlepool,FAE_Primary_Obesity,Female,42
2015/16,LocalAuthority,E06000002,112,Middlesbrough,FAE_Primary_Obesity,Female,58
2015/16,LocalAuthority,E06000003,113,Redcar and Cleveland,FAE_Primary_Obesity,Female,48
2015/16,LocalAuthority,E06000004,114,Stockton-on-Tees,FAE_Primary_Obesity,Female,87
2015/16,LocalAuthority,E06000005,117,Darlington,FAE_Primary_Obesity,Female,33
2015/16,LocalAuthority,E06000006,321,Halton,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000007,322,Warrington,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000008,324,Blackburn with Darwen,FAE_Primary_Obesity,Female,15
2015/16,LocalAuthority,E06000009,325,Blackpool,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000010,215,"Kingston upon Hull, City of",FAE_Primary_Obesity,Female,18
2015/16,LocalAuthority,E06000011,214,East Riding of Yorkshire,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000012,216,North East Lincolnshire,FAE_Primary_Obesity,Female,18
2015/16,LocalAuthority,E06000013,217,North Lincolnshire,FAE_Primary_Obesity,Female,21
2015/16,LocalAuthority,E06000014,219,York,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000015,507,Derby,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000016,509,Leicester,FAE_Primary_Obesity,Female,14
2015/16,LocalAuthority,E06000017,510,Rutland                                                                         ,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000018,512,Nottingham,FAE_Primary_Obesity,Female,11
2015/16,LocalAuthority,E06000019,415,"Herefordshire, County of",FAE_Primary_Obesity,Female,23
2015/16,LocalAuthority,E06000020,418,Telford and Wrekin,FAE_Primary_Obesity,Female,85
2015/16,LocalAuthority,E06000021,414,Stoke-on-Trent,FAE_Primary_Obesity,Female,104
2015/16,LocalAuthority,E06000022,908,Bath and North East Somerset,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000023,909,"Bristol, City of",FAE_Primary_Obesity,Female,48
2015/16,LocalAuthority,E06000024,910,North Somerset,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000025,911,South Gloucestershire,FAE_Primary_Obesity,Female,35
2015/16,LocalAuthority,E06000026,913,Plymouth,FAE_Primary_Obesity,Female,51
2015/16,LocalAuthority,E06000027,914,Torbay,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000028,810,Bournemouth,FAE_Primary_Obesity,Female,12
2015/16,LocalAuthority,E06000029,811,Poole,FAE_Primary_Obesity,Female,12
2015/16,LocalAuthority,E06000030,819,Swindon,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000031,624,Peterborough,FAE_Primary_Obesity,Female,16
2015/16,LocalAuthority,E06000032,611,Luton,FAE_Primary_Obesity,Female,48
2015/16,LocalAuthority,E06000033,621,Southend-on-Sea,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000034,622,Thurrock,FAE_Primary_Obesity,Female,20
2015/16,LocalAuthority,E06000035,821,Medway,FAE_Primary_Obesity,Female,62
2015/16,LocalAuthority,E06000036,614,Bracknell Forest,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000037,615,West Berkshire,FAE_Primary_Obesity,Female,16
2015/16,LocalAuthority,E06000038,616,Reading,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000039,617,Slough,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000040,618,Windsor and Maidenhead,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000041,619,Wokingham,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000042,613,Milton Keynes,FAE_Primary_Obesity,Female,27
2015/16,LocalAuthority,E06000043,816,Brighton and Hove,FAE_Primary_Obesity,Female,33
2015/16,LocalAuthority,E06000044,813,Portsmouth,FAE_Primary_Obesity,Female,76
2015/16,LocalAuthority,E06000045,814,Southampton,FAE_Primary_Obesity,Female,35
2015/16,LocalAuthority,E06000046,803,Isle of Wight,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000047,116,County Durham,FAE_Primary_Obesity,Female,307
2015/16,LocalAuthority,E06000049,326,Cheshire East,FAE_Primary_Obesity,Female,33
2015/16,LocalAuthority,E06000050,327,Cheshire West and Chester,FAE_Primary_Obesity,Female,37
2015/16,LocalAuthority,E06000051,417,Shropshire,FAE_Primary_Obesity,Female,56
2015/16,LocalAuthority,E06000052,902,Cornwall,FAE_Primary_Obesity,Female,116
2015/16,LocalAuthority,E06000053,906,Isles of Scilly,FAE_Primary_Obesity,Female,0
2015/16,LocalAuthority,E06000054,817,Wiltshire,FAE_Primary_Obesity,Female,36
2015/16,LocalAuthority,E06000055,625,Bedford,FAE_Primary_Obesity,Female,15
2015/16,LocalAuthority,E06000056,626,Central Bedfordshire,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E06000057,104,Northumberland,FAE_Primary_Obesity,Female,87
2015/16,LocalAuthority,E08000001,304,Bolton,FAE_Primary_Obesity,Female,33
2015/16,LocalAuthority,E08000002,305,Bury,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E08000003,306,Manchester,FAE_Primary_Obesity,Female,56
2015/16,LocalAuthority,E08000004,307,Oldham,FAE_Primary_Obesity,Female,17
2015/16,LocalAuthority,E08000005,308,Rochdale,FAE_Primary_Obesity,Female,22
2015/16,LocalAuthority,E08000006,309,Salford,FAE_Primary_Obesity,Female,17
2015/16,LocalAuthority,E08000007,310,Stockport,FAE_Primary_Obesity,Female,19
2015/16,LocalAuthority,E08000008,311,Tameside,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E08000009,312,Trafford,FAE_Primary_Obesity,Female,13
2015/16,LocalAuthority,E08000010,313,Wigan,FAE_Primary_Obesity,Female,32
2015/16,LocalAuthority,E08000011,315,Knowsley,FAE_Primary_Obesity,Female,25
2015/16,LocalAuthority,E08000012,316,Liverpool,FAE_Primary_Obesity,Female,56
2015/16,LocalAuthority,E08000013,318,St. Helens,FAE_Primary_Obesity,Female,8
2015/16,LocalAuthority,E08000014,317,Sefton,FAE_Primary_Obesity,Female,27
2015/16,LocalAuthority,E08000015,319,Wirral,FAE_Primary_Obesity,Female,43
2015/16,LocalAuthority,E08000016,204,Barnsley,FAE_Primary_Obesity,Female,27
2015/16,LocalAuthority,E08000017,205,Doncaster,FAE_Primary_Obesity,Female,34
2015/16,LocalAuthority,E08000018,206,Rotherham,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E08000019,207,Sheffield,FAE_Primary_Obesity,Female,91
2015/16,LocalAuthority,E08000021,107,Newcastle upon Tyne,FAE_Primary_Obesity,Female,50
2015/16,LocalAuthority,E08000022,108,North Tyneside,FAE_Primary_Obesity,Female,52
2015/16,LocalAuthority,E08000023,109,South Tyneside,FAE_Primary_Obesity,Female,107
2015/16,LocalAuthority,E08000024,110,Sunderland,FAE_Primary_Obesity,Female,240
2015/16,LocalAuthority,E08000025,406,Birmingham,FAE_Primary_Obesity,Female,219
2015/16,LocalAuthority,E08000026,407,Coventry,FAE_Primary_Obesity,Female,55
2015/16,LocalAuthority,E08000027,408,Dudley,FAE_Primary_Obesity,Female,23
2015/16,LocalAuthority,E08000028,409,Sandwell,FAE_Primary_Obesity,Female,104
2015/16,LocalAuthority,E08000029,410,Solihull,FAE_Primary_Obesity,Female,50
2015/16,LocalAuthority,E08000030,411,Walsall,FAE_Primary_Obesity,Female,28
2015/16,LocalAuthority,E08000031,412,Wolverhampton,FAE_Primary_Obesity,Female,35
2015/16,LocalAuthority,E08000032,209,Bradford,FAE_Primary_Obesity,Female,60
2015/16,LocalAuthority,E08000033,210,Calderdale,FAE_Primary_Obesity,Female,36
2015/16,LocalAuthority,E08000034,211,Kirklees,FAE_Primary_Obesity,Female,27
2015/16,LocalAuthority,E08000035,212,Leeds,FAE_Primary_Obesity,Female,37
2015/16,LocalAuthority,E08000036,213,Wakefield,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E08000037,106,Gateshead,FAE_Primary_Obesity,Female,81
2015/16,LocalAuthority,E09000001,714,City of London,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E09000002,716,Barking and Dagenham,FAE_Primary_Obesity,Female,25
2015/16,LocalAuthority,E09000003,717,Barnet,FAE_Primary_Obesity,Female,71
2015/16,LocalAuthority,E09000004,718,Bexley,FAE_Primary_Obesity,Female,66
2015/16,LocalAuthority,E09000005,719,Brent,FAE_Primary_Obesity,Female,88
2015/16,LocalAuthority,E09000006,720,Bromley,FAE_Primary_Obesity,Female,42
2015/16,LocalAuthority,E09000007,702,Camden,FAE_Primary_Obesity,Female,49
2015/16,LocalAuthority,E09000008,721,Croydon,FAE_Primary_Obesity,Female,55
2015/16,LocalAuthority,E09000009,722,Ealing,FAE_Primary_Obesity,Female,101
2015/16,LocalAuthority,E09000010,723,Enfield,FAE_Primary_Obesity,Female,50
2015/16,LocalAuthority,E09000011,703,Greenwich,FAE_Primary_Obesity,Female,86
2015/16,LocalAuthority,E09000012,704,Hackney,FAE_Primary_Obesity,Female,42
2015/16,LocalAuthority,E09000013,705,Hammersmith and Fulham,FAE_Primary_Obesity,Female,45
2015/16,LocalAuthority,E09000014,724,Haringey,FAE_Primary_Obesity,Female,51
2015/16,LocalAuthority,E09000015,725,Harrow,FAE_Primary_Obesity,Female,35
2015/16,LocalAuthority,E09000016,726,Havering,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E09000017,727,Hillingdon,FAE_Primary_Obesity,Female,65
2015/16,LocalAuthority,E09000018,728,Hounslow,FAE_Primary_Obesity,Female,54
2015/16,LocalAuthority,E09000019,706,Islington,FAE_Primary_Obesity,Female,52
2015/16,LocalAuthority,E09000020,707,Kensington and Chelsea,FAE_Primary_Obesity,Female,19
2015/16,LocalAuthority,E09000021,729,Kingston upon Thames,FAE_Primary_Obesity,Female,*
2015/16,LocalAuthority,E09000022,708,Lambeth,FAE_Primary_Obesity,Female,76
2015/16,LocalAuthority,E09000023,709,Lewisham,FAE_Primary_Obesity,Female,111
2015/16,LocalAuthority,E09000024,730,Merton,FAE_Primary_Obesity,Female,29
2015/16,LocalAuthority,E09000025,731,Newham,FAE_Primary_Obesity,Female,39
2015/16,LocalAuthority,E09000026,732,Redbridge,FAE_Primary_Obesity,Female,27
2015/16,LocalAuthority,E09000027,733,Richmond upon Thames,FAE_Primary_Obesity,Female,20
2015/16,LocalAuthority,E09000028,710,Southwark,FAE_Primary_Obesity,Female,84
2015/16,LocalAuthority,E09000029,734,Sutton,FAE_Primary_Obesity,Female,31
2015/16,LocalAuthority,E09000030,711,Tower Hamlets,FAE_Primary_Obesity,Female,22
2015/16,LocalAuthority,E09000031,735,Waltham Forest,FAE_Primary_Obesity,Female,49
2015/16,LocalAuthority,E09000032,712,Wandsworth,FAE_Primary_Obesity,Female,36
2015/16,LocalAuthority,E09000033,713,Westminster,FAE_Primary_Obesity,Female,48
2015/16,LocalAuthority,E10000002,612,Buckinghamshire,FAE_Primary_Obesity,Female,36
2015/16,LocalAuthority,E10000003,623,Cambridgeshire,FAE_Primary_Obesity,Female,30
2015/16,LocalAuthority,E10000006,102,Cumbria,FAE_Primary_Obesity,Female,24
2015/16,LocalAuthority,E10000007,506,Derbyshire,FAE_Primary_Obesity,Female,68
2015/16,LocalAuthority,E10000008,912,Devon,FAE_Primary_Obesity,Female,96
2015/16,LocalAuthority,E10000009,809,Dorset,FAE_Primary_Obesity,Female,25
2015/16,LocalAuthority,E10000011,815,East Sussex,FAE_Primary_Obesity,Female,79
2015/16,LocalAuthority,E10000012,620,Essex,FAE_Primary_Obesity,Female,94
2015/16,LocalAuthority,E10000013,904,Gloucestershire,FAE_Primary_Obesity,Female,42
2015/16,LocalAuthority,E10000014,812,Hampshire,FAE_Primary_Obesity,Female,146
2015/16,LocalAuthority,E10000015,606,Hertfordshire,FAE_Primary_Obesity,Female,110
2015/16,LocalAuthority,E10000016,820,Kent,FAE_Primary_Obesity,Female,182
2015/16,LocalAuthority,E10000017,323,Lancashire,FAE_Primary_Obesity,Female,70
